,settlementDate,settlementPeriod,powerSystemResourceType,quantity
381,2021-07-19,35,"""Fossil Hard coal""",776
382,2021-07-19,35,"""Hydro Run-of-river and poundage""",420
383,2021-07-19,35,"""Hydro Pumped Storage""",989
384,2021-07-19,35,"""Biomass""",2363
385,2021-07-19,36,"""Solar""",3650
386,2021-07-19,36,"""Wind Offshore""",1384.834
387,2021-07-19,36,"""Wind Onshore""",700.338
388,2021-07-19,36,"""Other""",292
389,2021-07-19,36,"""Nuclear""",4940
390,2021-07-19,36,"""Fossil Oil""",0
391,2021-07-19,36,"""Fossil Gas""",15429
392,2021-07-19,36,"""Fossil Hard coal""",893
393,2021-07-19,36,"""Hydro Run-of-river and poundage""",533
394,2021-07-19,36,"""Hydro Pumped Storage""",886
395,2021-07-19,36,"""Biomass""",2404
396,2021-07-19,37,"""Solar""",2840
397,2021-07-19,37,"""Wind Offshore""",1393.828
398,2021-07-19,37,"""Wind Onshore""",715.162
399,2021-07-19,37,"""Other""",336
400,2021-07-19,37,"""Nuclear""",4934
401,2021-07-19,37,"""Fossil Oil""",0
402,2021-07-19,37,"""Fossil Gas""",15719
403,2021-07-19,37,"""Fossil Hard coal""",966
404,2021-07-19,37,"""Hydro Run-of-river and poundage""",510
405,2021-07-19,37,"""Hydro Pumped Storage""",855
406,2021-07-19,37,"""Biomass""",2353
407,2021-07-19,38,"""Solar""",2120
408,2021-07-19,38,"""Wind Offshore""",1452.884
409,2021-07-19,38,"""Wind Onshore""",713.949
410,2021-07-19,38,"""Other""",329
411,2021-07-19,38,"""Nuclear""",4941
412,2021-07-19,38,"""Fossil Oil""",0
413,2021-07-19,38,"""Fossil Gas""",16028
414,2021-07-19,38,"""Fossil Hard coal""",968
415,2021-07-19,38,"""Hydro Run-of-river and poundage""",491
416,2021-07-19,38,"""Hydro Pumped Storage""",865
417,2021-07-19,38,"""Biomass""",2402
418,2021-07-19,39,"""Solar""",1480
419,2021-07-19,39,"""Wind Offshore""",1475.932
420,2021-07-19,39,"""Wind Onshore""",672.314
421,2021-07-19,39,"""Other""",317
422,2021-07-19,39,"""Nuclear""",4968
423,2021-07-19,39,"""Fossil Oil""",0
424,2021-07-19,39,"""Fossil Gas""",16276
425,2021-07-19,39,"""Fossil Hard coal""",901
426,2021-07-19,39,"""Hydro Run-of-river and poundage""",412
427,2021-07-19,39,"""Hydro Pumped Storage""",893
428,2021-07-19,39,"""Biomass""",2413
429,2021-07-19,40,"""Solar""",896
430,2021-07-19,40,"""Wind Offshore""",1417.805
431,2021-07-19,40,"""Wind Onshore""",664.468
432,2021-07-19,40,"""Other""",332
433,2021-07-19,40,"""Nuclear""",5009
434,2021-07-19,40,"""Fossil Oil""",0
435,2021-07-19,40,"""Fossil Gas""",16250
436,2021-07-19,40,"""Fossil Hard coal""",961
437,2021-07-19,40,"""Hydro Run-of-river and poundage""",393
438,2021-07-19,40,"""Hydro Pumped Storage""",864
439,2021-07-19,40,"""Biomass""",2385
440,2021-07-19,41,"""Solar""",444
441,2021-07-19,41,"""Wind Offshore""",1369.229
442,2021-07-19,41,"""Wind Onshore""",592.269
