HDR,SYSTEM FREQUENCY DATA
FREQ,20210720190730,50.012
FREQ,20210720190745,50.018
FREQ,20210720190800,50.012
FREQ,20210720190815,50.004
FREQ,20210720190830,50.028
FREQ,20210720190845,50.022
FREQ,20210720190900,49.999
FREQ,20210720190915,49.968
FREQ,20210720190930,49.986
FREQ,20210720190945,49.988
FREQ,20210720191000,49.983
FREQ,20210720191015,50.008
FREQ,20210720191030,50.000
FREQ,20210720191045,50.014
FREQ,20210720191100,50.024
FREQ,20210720191115,50.046
FREQ,20210720191130,50.040
FREQ,20210720191145,50.051
FREQ,20210720191200,50.023
FREQ,20210720191215,50.007
FREQ,20210720191230,50.018
FREQ,20210720191245,50.000
FREQ,20210720191300,50.027
FREQ,20210720191315,49.993
FREQ,20210720191330,50.006
FREQ,20210720191345,50.019
FREQ,20210720191400,50.006
FREQ,20210720191415,49.992
FREQ,20210720191430,50.003
FREQ,20210720191445,50.006
FREQ,20210720191500,49.987
FREQ,20210720191515,50.020
FREQ,20210720191530,50.008
FREQ,20210720191545,50.006
FREQ,20210720191600,49.980
FREQ,20210720191615,49.975
FREQ,20210720191630,49.981
FREQ,20210720191645,49.950
FREQ,20210720191700,49.962
FREQ,20210720191715,49.969
FREQ,20210720191730,49.972
FREQ,20210720191745,49.961
FREQ,20210720191800,49.987
FREQ,20210720191815,49.967
FREQ,20210720191830,49.970
FREQ,20210720191845,49.984
FREQ,20210720191900,49.987
FREQ,20210720191915,49.973
FREQ,20210720191930,50.000
FREQ,20210720191945,49.991
FREQ,20210720192000,49.995
FREQ,20210720192015,49.966
FREQ,20210720192030,49.957
FREQ,20210720192045,49.974
FREQ,20210720192100,49.977
FREQ,20210720192115,49.974
FREQ,20210720192130,49.988
FREQ,20210720192145,49.976
FREQ,20210720192200,49.995
FREQ,20210720192215,49.958
FREQ,20210720192230,49.952
FREQ,20210720192245,49.960
FREQ,20210720192300,49.969
FREQ,20210720192315,50.010
FREQ,20210720192330,49.995
FREQ,20210720192345,50.017
FREQ,20210720192400,49.975
FREQ,20210720192415,49.983
