ignore,Fuel,Date,Zone,Week,Year,MW
FOU2T52W,OTHER,20210721091000,N,49,2021,100
FOU2T52W,PS,20210721091000,N,49,2021,2510
FOU2T52W,WIND,20210721091000,N,49,2021,11059
FOU2T52W,BIOMASS,20210721091000,N,50,2021,3276
FOU2T52W,CCGT,20210721091000,N,50,2021,29149
FOU2T52W,COAL,20210721091000,N,50,2021,4292
FOU2T52W,INTELEC,20210721091000,N,50,2021,0
FOU2T52W,INTEW,20210721091000,N,50,2021,500
FOU2T52W,INTFR,20210721091000,N,50,2021,2000
FOU2T52W,INTIFA2,20210721091000,N,50,2021,1100
FOU2T52W,INTIRL,20210721091000,N,50,2021,500
FOU2T52W,INTNED,20210721091000,N,50,2021,1000
FOU2T52W,INTNEM,20210721091000,N,50,2021,1000
FOU2T52W,INTNSL,20210721091000,N,50,2021,0
FOU2T52W,NPSHYD,20210721091000,N,50,2021,1130
FOU2T52W,NUCLEAR,20210721091000,N,50,2021,5895
FOU2T52W,OCGT,20210721091000,N,50,2021,1047
FOU2T52W,OTHER,20210721091000,N,50,2021,100
FOU2T52W,PS,20210721091000,N,50,2021,2510
FOU2T52W,WIND,20210721091000,N,50,2021,8850
FOU2T52W,BIOMASS,20210721091000,N,51,2021,3276
FOU2T52W,CCGT,20210721091000,N,51,2021,29149
FOU2T52W,COAL,20210721091000,N,51,2021,4292
FOU2T52W,INTELEC,20210721091000,N,51,2021,0
FOU2T52W,INTEW,20210721091000,N,51,2021,500
FOU2T52W,INTFR,20210721091000,N,51,2021,2000
FOU2T52W,INTIFA2,20210721091000,N,51,2021,1100
FOU2T52W,INTIRL,20210721091000,N,51,2021,500
FOU2T52W,INTNED,20210721091000,N,51,2021,1000
FOU2T52W,INTNEM,20210721091000,N,51,2021,1000
FOU2T52W,INTNSL,20210721091000,N,51,2021,0
FOU2T52W,NPSHYD,20210721091000,N,51,2021,1130
FOU2T52W,NUCLEAR,20210721091000,N,51,2021,7039
FOU2T52W,OCGT,20210721091000,N,51,2021,1047
FOU2T52W,OTHER,20210721091000,N,51,2021,100
FOU2T52W,PS,20210721091000,N,51,2021,2510
FOU2T52W,WIND,20210721091000,N,51,2021,8210
FOU2T52W,BIOMASS,20210721091000,N,52,2021,3276
FOU2T52W,CCGT,20210721091000,N,52,2021,29149
FOU2T52W,COAL,20210721091000,N,52,2021,4292
FOU2T52W,INTELEC,20210721091000,N,52,2021,0
FOU2T52W,INTEW,20210721091000,N,52,2021,500
FOU2T52W,INTFR,20210721091000,N,52,2021,2000
FOU2T52W,INTIFA2,20210721091000,N,52,2021,1100
FOU2T52W,INTIRL,20210721091000,N,52,2021,500
FOU2T52W,INTNED,20210721091000,N,52,2021,1000
FOU2T52W,INTNEM,20210721091000,N,52,2021,1000
FOU2T52W,INTNSL,20210721091000,N,52,2021,0
FOU2T52W,NPSHYD,20210721091000,N,52,2021,1130
FOU2T52W,NUCLEAR,20210721091000,N,52,2021,7699
FOU2T52W,OCGT,20210721091000,N,52,2021,1047
FOU2T52W,OTHER,20210721091000,N,52,2021,100
FOU2T52W,PS,20210721091000,N,52,2021,2510
FOU2T52W,WIND,20210721091000,N,52,2021,8549
FOU2T52W,BIOMASS,20210721091000,N,1,2022,3276
FOU2T52W,CCGT,20210721091000,N,1,2022,29149
FOU2T52W,COAL,20210721091000,N,1,2022,4292
FOU2T52W,INTELEC,20210721091000,N,1,2022,0
FOU2T52W,INTEW,20210721091000,N,1,2022,500
FOU2T52W,INTFR,20210721091000,N,1,2022,2000
FOU2T52W,INTIFA2,20210721091000,N,1,2022,1100
FOU2T52W,INTIRL,20210721091000,N,1,2022,500
FOU2T52W,INTNED,20210721091000,N,1,2022,1000
FOU2T52W,INTNEM,20210721091000,N,1,2022,1000
FOU2T52W,INTNSL,20210721091000,N,1,2022,0
FOU2T52W,NPSHYD,20210721091000,N,1,2022,1130
FOU2T52W,NUCLEAR,20210721091000,N,1,2022,7101
FOU2T52W,OCGT,20210721091000,N,1,2022,1047
FOU2T52W,OTHER,20210721091000,N,1,2022,100
FOU2T52W,PS,20210721091000,N,1,2022,2510
FOU2T52W,WIND,20210721091000,N,1,2022,7190
FOU2T52W,BIOMASS,20210721091000,N,2,2022,3276
FOU2T52W,CCGT,20210721091000,N,2,2022,29149
FOU2T52W,COAL,20210721091000,N,2,2022,4292
FOU2T52W,INTELEC,20210721091000,N,2,2022,0
FOU2T52W,INTEW,20210721091000,N,2,2022,500
FOU2T52W,INTFR,20210721091000,N,2,2022,2000
FOU2T52W,INTIFA2,20210721091000,N,2,2022,1100
FOU2T52W,INTIRL,20210721091000,N,2,2022,500
FOU2T52W,INTNED,20210721091000,N,2,2022,1000
FOU2T52W,INTNEM,20210721091000,N,2,2022,1000
FOU2T52W,INTNSL,20210721091000,N,2,2022,0
FOU2T52W,NPSHYD,20210721091000,N,2,2022,1130
FOU2T52W,NUCLEAR,20210721091000,N,2,2022,6477
FOU2T52W,OCGT,20210721091000,N,2,2022,1047
FOU2T52W,OTHER,20210721091000,N,2,2022,100
FOU2T52W,PS,20210721091000,N,2,2022,2510
FOU2T52W,WIND,20210721091000,N,2,2022,7376
FOU2T52W,BIOMASS,20210721091000,N,3,2022,3143
FOU2T52W,CCGT,20210721091000,N,3,2022,29149
FOU2T52W,COAL,20210721091000,N,3,2022,4292
FOU2T52W,INTELEC,20210721091000,N,3,2022,0
FOU2T52W,INTEW,20210721091000,N,3,2022,500
FOU2T52W,INTFR,20210721091000,N,3,2022,2000
FOU2T52W,INTIFA2,20210721091000,N,3,2022,1100
FOU2T52W,INTIRL,20210721091000,N,3,2022,500
FOU2T52W,INTNED,20210721091000,N,3,2022,1000
FOU2T52W,INTNEM,20210721091000,N,3,2022,1000
FOU2T52W,INTNSL,20210721091000,N,3,2022,0
FOU2T52W,NPSHYD,20210721091000,N,3,2022,1130
FOU2T52W,NUCLEAR,20210721091000,N,3,2022,6571
FOU2T52W,OCGT,20210721091000,N,3,2022,1047
FOU2T52W,OTHER,20210721091000,N,3,2022,100
FOU2T52W,PS,20210721091000,N,3,2022,2510
FOU2T52W,WIND,20210721091000,N,3,2022,7305
FOU2T52W,BIOMASS,20210721091000,N,4,2022,3143
FOU2T52W,CCGT,20210721091000,N,4,2022,28749
FOU2T52W,COAL,20210721091000,N,4,2022,4292
FOU2T52W,INTELEC,20210721091000,N,4,2022,0
FOU2T52W,INTEW,20210721091000,N,4,2022,500
FOU2T52W,INTFR,20210721091000,N,4,2022,2000
FOU2T52W,INTIFA2,20210721091000,N,4,2022,1100
FOU2T52W,INTIRL,20210721091000,N,4,2022,500
FOU2T52W,INTNED,20210721091000,N,4,2022,1000
FOU2T52W,INTNEM,20210721091000,N,4,2022,1000
FOU2T52W,INTNSL,20210721091000,N,4,2022,0
FOU2T52W,NPSHYD,20210721091000,N,4,2022,1130
FOU2T52W,NUCLEAR,20210721091000,N,4,2022,6909
FOU2T52W,OCGT,20210721091000,N,4,2022,1047
FOU2T52W,OTHER,20210721091000,N,4,2022,100
FOU2T52W,PS,20210721091000,N,4,2022,2510
FOU2T52W,WIND,20210721091000,N,4,2022,6608
FOU2T52W,BIOMASS,20210721091000,N,5,2022,3143
FOU2T52W,CCGT,20210721091000,N,5,2022,29149
FOU2T52W,COAL,20210721091000,N,5,2022,4292
FOU2T52W,INTELEC,20210721091000,N,5,2022,0
FOU2T52W,INTEW,20210721091000,N,5,2022,500
FOU2T52W,INTFR,20210721091000,N,5,2022,2000
FOU2T52W,INTIFA2,20210721091000,N,5,2022,1100
FOU2T52W,INTIRL,20210721091000,N,5,2022,500
FOU2T52W,INTNED,20210721091000,N,5,2022,1000
FOU2T52W,INTNEM,20210721091000,N,5,2022,1000
FOU2T52W,INTNSL,20210721091000,N,5,2022,0
FOU2T52W,NPSHYD,20210721091000,N,5,2022,1130
FOU2T52W,NUCLEAR,20210721091000,N,5,2022,7113
FOU2T52W,OCGT,20210721091000,N,5,2022,1047
FOU2T52W,OTHER,20210721091000,N,5,2022,100
FOU2T52W,PS,20210721091000,N,5,2022,2510
FOU2T52W,WIND,20210721091000,N,5,2022,9725
FOU2T52W,BIOMASS,20210721091000,N,6,2022,3143
FOU2T52W,CCGT,20210721091000,N,6,2022,29149
FOU2T52W,COAL,20210721091000,N,6,2022,4292
FOU2T52W,INTELEC,20210721091000,N,6,2022,0
FOU2T52W,INTEW,20210721091000,N,6,2022,500
FOU2T52W,INTFR,20210721091000,N,6,2022,2000
FOU2T52W,INTIFA2,20210721091000,N,6,2022,1100
FOU2T52W,INTIRL,20210721091000,N,6,2022,500
FOU2T52W,INTNED,20210721091000,N,6,2022,1000
FOU2T52W,INTNEM,20210721091000,N,6,2022,1000
FOU2T52W,INTNSL,20210721091000,N,6,2022,0
FOU2T52W,NPSHYD,20210721091000,N,6,2022,1130
FOU2T52W,NUCLEAR,20210721091000,N,6,2022,6171
FOU2T52W,OCGT,20210721091000,N,6,2022,1047
FOU2T52W,OTHER,20210721091000,N,6,2022,100
